InvoiceNo,Description,OrderValue,Quantity,CustomerID,Country
549185,PACK OF 20 NAPKINS PANTRY DESIGN,10.2,12,18272.0,United Kingdom
576381,NATURAL SLATE HEART CHALKBOARD ,35.4,12,12839.0,United Kingdom
551192,36 PENCILS TUBE SKULLS,20.0,16,16188.0,United Kingdom
573553,SET 6 SCHOOL MILK BOTTLES IN CRATE,7.46,1,,United Kingdom
539436,FINE WICKER HEART ,2.51,1,,United Kingdom
580893,SEWING BOX RETROSPOT DESIGN ,3.95,1,17290.0,United Kingdom
568321,3 TRADITIONAl BISCUIT CUTTERS  SET,12.6,6,13639.0,United Kingdom
552949,BULL DOG BOTTLE OPENER,29.7,6,16033.0,United Kingdom
567461,STRAWBERRY CHARLOTTE BAG,44.28,18,,United Kingdom
542121,FAIRY SOAP SOAP HOLDER,3.38,2,17515.0,United Kingdom
566913,PACK OF 12 VINTAGE DOILY TISSUES,1.56,4,17602.0,United Kingdom
550477,PACK OF 60 DINOSAUR CAKE CASES,0.55,1,17338.0,United Kingdom
538663,CAKE STAND 3 TIER MAGIC GARDEN,25.5,2,15159.0,United Kingdom
570715,ICE CREAM PEN LIP GLOSS ,30.0,24,18287.0,United Kingdom
549299,LUNCH BAG CARS BLUE,16.5,10,13995.0,United Kingdom
559902,6 RIBBONS RUSTIC CHARM,1.65,1,14502.0,United Kingdom
537369,ROSE 3 WICK MORRIS BOX CANDLE,4.25,1,17860.0,United Kingdom
564353,HAND WARMER SCOTTY DOG DESIGN,25.2,12,15764.0,United Kingdom
562455,JAM MAKING SET WITH JARS,25.5,6,18097.0,United Kingdom
539451,12 PENCILS SMALL TUBE RED RETROSPOT,1.28,1,,United Kingdom
537057,PAPER CHAIN KIT 50'S CHRISTMAS ,2.95,1,15351.0,United Kingdom
549568,LAUNDRY 15C METAL SIGN,34.8,24,15665.0,United Kingdom
564758,PANTRY MAGNETIC  SHOPPING LIST,3.29,1,,United Kingdom
541424,SUMMER BUTTERFLIES BAG CHARM,2.46,1,,United Kingdom
559000,SPOTTY BUNTING,9.9,2,14099.0,United Kingdom
550438,PINK BLUE FELT CRAFT TRINKET BOX,15.0,12,15265.0,United Kingdom
549556,QUEENS GUARD COFFEE MUG,10.2,4,17372.0,United Kingdom
550474,TRAVEL CARD WALLET SUKI,0.83,1,,United Kingdom
559317,DOORMAT RED RETROSPOT,7.95,1,17611.0,United Kingdom
545906,3 PIECE SPACEBOY COOKIE CUTTER SET,12.6,6,15764.0,United Kingdom
568538,DOORMAT NEW ENGLAND,424.8,60,15061.0,United Kingdom
575944,SLEEPING CAT ERASERS,6.3,30,16571.0,United Kingdom
545797,SET 12 LAVENDER  BOTANICAL T-LIGHTS,2.95,1,16225.0,United Kingdom
540349,PLASTERS IN TIN VINTAGE PAISLEY ,19.8,12,15379.0,United Kingdom
551174,HOMEMADE JAM SCENTED CANDLES,3.29,1,,United Kingdom
541592,SCOTTIES CHILDRENS APRON,9.78,6,,United Kingdom
536769,3D TRADITIONAL CHRISTMAS STICKERS,25.0,20,17581.0,United Kingdom
581166,PAPER CHAIN KIT 50'S CHRISTMAS ,2.95,1,15525.0,United Kingdom
548978,DOORMAT NEW ENGLAND,15.9,2,15727.0,United Kingdom
558315,CLOTHES PEGS RETROSPOT PACK 24 ,19.8,12,15065.0,United Kingdom
546009,AIRLINE BAG VINTAGE TOKYO 78,4.25,1,16426.0,United Kingdom
542835,JASMINE VOTIVE CANDLE,6.96,24,13939.0,United Kingdom
558315,ROUND CAKE TIN VINTAGE RED,15.9,2,15065.0,United Kingdom
541695,SET OF 6 SPICE TINS PANTRY DESIGN,8.29,1,,United Kingdom
551824,SET OF SALT AND PEPPER TOADSTOOLS,15.0,12,15128.0,United Kingdom
